latitude,longitude,name,status,type,colour,DNR,EIGANDI,DAGS
64.12357862339039,-21.804122687556777,2210,,Götuljós,blue,51,Gatnamálastofa-rekstur/viðhald  ,1994/01/20
64.1235882934454,-21.803414349126843,2214,,Götuljós,blue,51,Gatnamálastofa-rekstur/viðhald  ,1994/01/20
64.09655760843813,-21.836901868211783,21283,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/03/23
64.09685921078288,-21.83975485712719,21289,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/03/23
64.09694137550255,-21.838161673855335,21280,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/03/23
64.09704561584456,-21.83867140849742,21279,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/03/23
64.09719220227547,-21.839015650915147,21278,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/03/23
64.09724674870434,-21.839731867916402,21291,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/03/23
64.09689587455661,-21.847464688108776,21293,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.09759148460186,-21.8464182991716,21351,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.09687973003584,-21.84597823586913,21315,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.096041173049,-21.846822079179965,21321,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.11300185342782,-21.805707985494905,85549,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11209264600183,-21.803469360648236,85536,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11359474507367,-21.809713865365104,85556,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
64.11462919987618,-21.81598328291124,85582,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
64.11428836912856,-21.81370554345851,85537,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
