OBJECTID,HLUTVERK,GERD,GLJ_ID,DNR,LAGNINGARAR,KERFI,EIGANDI,SVF,VERKNR,VBL,SYMBOL,SNUNINGUR,HEIMILD,DAGSINNSETNINGAR,DAGSLEIDRETTINGAR,NAKVAEMNIXY,NAKVAEMNIZ,FLOKKUR_IST120,GLOBALID,STADA,DMM_GATLISTI,X,Y,Z,TENGINR,GREIN,KENNI,STADUR,VIDHALD,LAT,LON,Lóð,Viðfang,Ljósastaur XID,Ljósabúnaður XID,Auðkenni ljósabúnaðar (OBJECTID),Tegund ljósabúnaðar,Heiti tegundar ljósabúnaðar,Framleiðandi ljósabúnaðar,Ljósgjafi,Skráð afl [W],Notað ljósstreymi [LM],Litarhitastig [K],Ljósdreifing,Birgir,Ábyrgðartímabil [Ár],Stjórneining,Annað,Lýsing,Dags. kveiking,Dags. uppsett,Eigandi Umsjón-starfsmaður,Kennitala eiganda,Veitutegund,Uppsett afl [W],Uppsett ljósstreymi [ln],Straumfesta,Miðnæturdimming,Tengill (Zhaga),Halli ljósabúnaðar,Litur ljósabúnaðar,Þyngd [kg],Vindflötur [m²],Ljóshlíf,Lampa verkefni,Staða
1856818,Götuljós,17,26993,74,1995,Götuljósakort,Reykjavíkurborg - eignasjóður,0,70096747,1494207.0,117,352.7146912,Veita_43001,1993/12/31 00:00:00+00,2022/08/18 13:07:02+00,0.0,,403.0,{9B467A9A-68A9-4733-9B69-CFF996F5BD9F},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356875.505,407669.525,0.0,16729.0,,,Vesturbær Götulýsing,,64.14191292,-21.94088585,,Vesturbær Götulýsing            ,,90196,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1856820,Götuljós,17,26985,74,1995,Götuljósakort,Reykjavíkurborg - eignasjóður,0,70096747,1494200.0,117,-1.5746994,Veita_43001,1993/12/31 00:00:00+00,2022/08/18 13:07:20+00,0.0,,403.0,{86329B01-BFFD-44C1-8275-31817C70DFC1},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356745.326,407711.733,0.0,16729.0,,,Vesturbær Götulýsing,,64.14223679,-21.94359722,,Vesturbær Götulýsing            ,,90188,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1856821,Götuljós,17,26991,74,1995,Götuljósakort,Reykjavíkurborg - eignasjóður,0,70096747,1494201.0,117,343.6817474,Veita_43001,1993/12/31 00:00:00+00,2022/08/18 13:07:19+00,0.0,,403.0,{CA630460-5CDE-4635-8174-F3CAB7830FFE},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356886.564,407728.5,0.0,16729.0,,,Vesturbær Götulýsing,,64.14244597,-21.94071527,,Vesturbær Götulýsing            ,,90194,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1856991,Upplýst skilti,89,35359,74,1999,Götuljósakort,Reykjavíkurborg - eignasjóður,0,H-77072,45537.0,2,349.6951599,,2001/09/11 00:00:00+00,2022/08/18 13:07:31+00,0.0,,403.0,{DA951469-9919-4FC6-A02C-1C973FAB9869},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356866.791,407773.6444,0.0,16729.0,,,Skothúsvegur v/Hljómsk.uppl.t.,,64.14284223,-21.94116411,,Skothúsvegur v/Hljómsk.uppl.t.  ,,40106,318,AUGL180W,AUGL180W,-,F,180,,,,,,,,Augl.standur 180W,17111999,,,,E,180,,,,,,,,,,,
1857340,Götuljós,6,26968,74,1994,Götuljósakort,Reykjavíkurborg - eignasjóður,0,,0.0,106,76.18918896,Veita_43001,1994/03/11 00:00:00+00,2022/08/18 13:07:58+00,0.3,,403.0,{5E31AB52-E555-4673-B284-9A7FAAC00393},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356813.943,407786.38,0.0,16729.0,,,Miðbær Götulýsing,,64.1429343,-21.94226065,,Miðbær Götulýsing               ,,28678,7442,SRL-LED90WV22 3.0K,SRL-LED90WV22 3.0K,Vizulo,LED,90,,3000.0,,3000.0,,,,Stork.LB G064V22 ZH-DIM,30012023,,,,G,90,,,,ZH,,,,,,,
1857484,Götuljós,99,1824,45,1983,Götuljósakort,Reykjavíkurborg - eignasjóður,0,,0.0,199,90.0,Veita_43002,1997/11/20 00:00:00+00,2022/09/02 14:12:52+00,0.0,,403.0,{EF16CBE7-6AA8-4110-9302-76C5D64A9B40},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,357050.499,407670.423,0.0,32853.0,4.0,,Vesturbær Götulýsing,,64.14199392,-21.93729615,,Vesturbær Götulýsing            ,,1896,6403,SRL-LED49WL66+L90 3.0K,SRL-LED49WL66+L90 3.0K,Vizulo,LED,49,,3000.0,,3000.0,,,,Stork.LB B048L66+L90 ZH-DIM5920lm,16032023,,,,G,49,,,,ZH,,,,,,,
1857485,Götuljós,99,1825,45,1983,Götuljósakort,Reykjavíkurborg - eignasjóður,0,,0.0,199,90.0,Veita_43002,1997/11/20 00:00:00+00,2022/09/02 14:12:52+00,0.0,,403.0,{D10C05F1-E6C8-4EED-AD37-6A077AF3C7F6},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,357055.87,407643.48,0.0,32853.0,4.0,,Vesturbær Götulýsing,,64.14175474,-21.93716024,,Vesturbær Götulýsing            ,,1897,6403,SRL-LED49WL66+L90 3.0K,SRL-LED49WL66+L90 3.0K,Vizulo,LED,49,,3000.0,,3000.0,,,,Stork.LB B048L66+L90 ZH-DIM5920lm,16032023,,,,G,49,,,,ZH,,,,,,,
1857486,Götuljós,99,31624,45,1998,Götuljósakort,Reykjavíkurborg - eignasjóður,0,1-3704,20248.0,199,90.0,Veita_43002,1999/02/23 00:00:00+00,2022/09/02 13:54:28+00,0.0,,403.0,{7D526ECE-5F38-4AFA-9896-7FA81293C5C6},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,356980.858,407694.024,0.0,32853.0,2.0,,Vesturbær Götulýsing,,64.14217637,-21.93874758,,Vesturbær Götulýsing            ,,35721,26,Jernkost7378-K125W,Jernkost7378-K125W,Jernkonst AB,K,125,,4200.0,,,,,,Jernkost 7378 Ömmuljós 125W K,1091998,,,,G,125,,,,,,,,,,,
1857487,Götuljós,99,31633,45,1998,Götuljósakort,Reykjavíkurborg - eignasjóður,0,1-3704,20253.0,199,90.0,Veita_43002,1999/02/23 00:00:00+00,2022/09/02 13:58:25+00,10.0,,403.0,{7067A0C7-4F40-429B-A8ED-8B32F6B74A16},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,357024.253,407515.689,0.0,32853.0,2.0,,Vesturbær Götulýsing,,64.14059652,-21.93768703,,Vesturbær Götulýsing            ,,35730,26,Jernkost7378-K125W,Jernkost7378-K125W,Jernkonst AB,K,125,,4200.0,,,,,,Jernkost 7378 Ömmuljós 125W K,1091998,,,,G,125,,,,,,,,,,,
1857547,Götuljós,99,1822,45,1983,Götuljósakort,Reykjavíkurborg - eignasjóður,0,,0.0,199,90.0,Veita_43002,1997/11/20 00:00:00+00,2022/09/02 14:12:52+00,10.0,,403.0,{A3DF6137-DFDF-4596-AA59-5499AF1E491F},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,357041.864,407721.659,0.0,32853.0,4.0,,Vesturbær Götulýsing,,64.14244942,-21.93752221,,Vesturbær Götulýsing            ,,1894,6403,SRL-LED49WL66+L90 3.0K,SRL-LED49WL66+L90 3.0K,Vizulo,LED,49,,3000.0,,3000.0,,,,Stork.LB B048L66+L90 ZH-DIM5920lm,16032023,,,,G,49,,,,ZH,,,,,,,
