OBJECTID,HLUTVERK,GERD,GLJ_ID,DNR,LAGNINGARAR,KERFI,EIGANDI,SVF,VERKNR,VBL,SYMBOL,SNUNINGUR,HEIMILD,DAGSINNSETNINGAR,DAGSLEIDRETTINGAR,NAKVAEMNIXY,NAKVAEMNIZ,FLOKKUR_IST120,GLOBALID,STADA,DMM_GATLISTI,X,Y,Z,TENGINR,GREIN,KENNI,STADUR,VIDHALD,LAT,LON,Lóð,Viðfang,Ljósastaur XID,Ljósabúnaður XID,Auðkenni ljósabúnaðar (OBJECTID),Tegund ljósabúnaðar,Heiti tegundar ljósabúnaðar,Framleiðandi ljósabúnaðar,Ljósgjafi,Skráð afl [W],Notað ljósstreymi [LM],Litarhitastig [K],Ljósdreifing,Birgir,Ábyrgðartímabil [Ár],Stjórneining,Annað,Lýsing,Dags. kveiking,Dags. uppsett,Eigandi Umsjón-starfsmaður,Kennitala eiganda,Veitutegund,Uppsett afl [W],Uppsett ljósstreymi [ln],Straumfesta,Miðnæturdimming,Tengill (Zhaga),Halli ljósabúnaðar,Litur ljósabúnaðar,Þyngd [kg],Vindflötur [m²],Ljóshlíf,Lampa verkefni,Staða
1857822,Götuljós,17,81100,74,2020,Götuljósakort,Reykjavíkurborg - eignasjóður,0,70002280,1548288,117,,,2020/04/16 08:15:25+00,2022/08/18 13:06:38+00,,,802,{CEC27445-065D-410D-8090-53BB5AE5C01B},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356880.3389,407781.9298,0,16729,,,Miðbær Götulýsing,,64.14292212,-21.94089403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857841,Götuljós,4,37734,45,2001,Götuljósakort,Reykjavíkurborg - eignasjóður,0,5450,53044,104,193.6611404,Veita_43002,2002/10/25 00:00:00+00,2022/09/02 13:56:20+00,0,,403,{033106B8-C53F-4D00-B189-2BC575E02BFB},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,356976.48,407568.448,0,32853,2,,Vesturbær Götulýsing,,64.14104935,-21.93871755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857844,Götuljós,4,37737,45,2001,Götuljósakort,Reykjavíkurborg - eignasjóður,0,5450,53047,104,193.6611404,Veita_43002,2002/10/25 00:00:00+00,2022/09/02 13:55:24+00,0,,403,{A47B9AE6-ED02-4AD1-ABF8-662CCB9DD84E},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,356951.203,407654.825,0,32853,2,,Vesturbær Götulýsing,,64.14181278,-21.93931863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857845,Götuljós,99,1926,45,1969,Götuljósakort,Reykjavíkurborg - eignasjóður,0,,0,199,90,Veita_43002,1995/12/31 00:00:00+00,2022/09/02 13:57:40+00,10,,403,{E8B3664E-D84D-41FB-BD62-4D8F9ECE2B27},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,357080.131,407446.087,0,32853,3,,Vesturbær Götulýsing,,64.13999614,-21.93647419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857846,Götuljós,99,1835,45,1969,Götuljósakort,Reykjavíkurborg - eignasjóður,0,,0,199,90,Veita_43002,1995/12/31 00:00:00+00,2022/09/02 14:12:52+00,10,,403,{A975F590-D9D9-4BA9-8BF0-96EB93999FA1},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,357183.815,407426.819,0,32853,4,,Vesturbær Götulýsing,,64.13986666,-21.93432856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857868,Götuljós,4,37724,45,2001,Götuljósakort,Reykjavíkurborg - eignasjóður,0,5450,52948,104,19.14813995,Veita_43002,2002/10/25 00:00:00+00,2022/09/02 13:56:20+00,0,,403,{FDAAEE0B-2063-4DED-9BCC-FEF68E7D1F27},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,356974.655,407521.529,0,32853,2,,Vesturbær Götulýsing,,64.14062818,-21.93871021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857882,Götuljós,4,37739,45,2001,Götuljósakort,Reykjavíkurborg - eignasjóður,0,5450,53049,104,193.6611404,Veita_43002,2002/10/25 00:00:00+00,2022/09/02 13:55:24+00,0,,403,{D94B7DD3-E455-413D-AE72-66119949922C},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,356934.372,407712.416,0,32853,2,,Vesturbær Götulýsing,,64.14232179,-21.93971896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857911,Götuljós,4,37730,45,2001,Götuljósakort,Reykjavíkurborg - eignasjóður,0,5450,53040,104,193.6611404,Veita_43002,2002/10/25 00:00:00+00,2022/09/02 13:56:20+00,0.3,,403,{30538058-BC2B-44D7-92A2-77514E9F072D},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,357010.098,407453.254,0,32853,2,,Vesturbær Götulýsing,,64.14003118,-21.93791787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857912,Götuljós,4,37738,45,2001,Götuljósakort,Reykjavíkurborg - eignasjóður,0,5450,53048,104,193.6611404,Veita_43002,2002/10/25 00:00:00+00,2022/09/02 13:55:24+00,0,,403,{55D7278B-30DF-4E84-A1A1-8369C6ABE529},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,356942.802,407683.625,0,32853,2,,Vesturbær Götulýsing,,64.14206733,-21.9395185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857913,Götuljós,99,1833,45,1969,Götuljósakort,Reykjavíkurborg - eignasjóður,0,,0,199,90,Veita_43002,1995/12/31 00:00:00+00,2022/09/02 14:12:52+00,10,,403,{62F51BF6-2A8B-4279-B70D-531DFAEFE5A7},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,357150.646,407467.726,0,32853,4,,Vesturbær Götulýsing,,64.1402194,-21.93504807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857914,Götuljós,4,37717,45,2001,Götuljósakort,Reykjavíkurborg - eignasjóður,0,5450,52930,104,19.14813995,Veita_43002,2002/10/25 00:00:00+00,2022/09/02 13:55:24+00,0,,403,{C2536356-DAB1-48AC-AE21-4F970520BAF4},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,356915.936,407723.153,0,32853,2,,Vesturbær Götulýsing,,64.14241031,-21.94010749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861521,Götuljós,18,84415,26,2022,Götuljósakort,Reykjavíkurborg - eignasjóður,0,40002112,,117,,Hönnun hjá RVK,2022/12/20 10:13:49+00,2023/05/03 13:47:19+00,,,,{49A19B69-6FD7-46BA-8DAE-F32739F6C3D3},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0026&Eignaflokkur=15440&Sleppa=0,357290.5175,407279.577,,237800,1,,Vesturbær Götulýsing,,64.13859171,-21.93199917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861522,Götuljós,18,84416,26,2022,Götuljósakort,Reykjavíkurborg - eignasjóður,0,40002112,,117,,Hönnun hjá RVK,2022/12/20 10:13:49+00,2023/05/03 13:47:19+00,,,,{2F8BB648-70BB-47BD-AA27-E5A3AC9470BC},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0026&Eignaflokkur=15440&Sleppa=0,357276.2318,407298.0607,,237801,1,,Vesturbær Götulýsing,,64.13875139,-21.93230985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861523,Götuljós,18,84417,26,2022,Götuljósakort,Reykjavíkurborg - eignasjóður,0,40002112,,117,,Hönnun hjá RVK,2022/12/20 10:13:49+00,2023/05/03 13:47:19+00,,,,{53EADCBC-C8DD-42DF-AA50-E929DE41F7A6},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0026&Eignaflokkur=15440&Sleppa=0,357251.6184,407292.2715,,237802,1,,Vesturbær Götulýsing,,64.13868928,-21.9328093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861524,Götuljós,18,84418,26,2022,Götuljósakort,Reykjavíkurborg - eignasjóður,0,40002112,,117,,Hönnun hjá RVK,2022/12/20 10:13:49+00,2023/05/03 13:47:19+00,,,,{56ED8C14-8079-4576-A9AC-B19F4B41B364},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0026&Eignaflokkur=15440&Sleppa=0,357297.3577,407292.2715,,237803,1,,Vesturbær Götulýsing,,64.1387083,-21.93187092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
